timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
6.00;162.53;veh24;319051177#2_0;4.80;0.00;4.92;veh_passenger;3158.65;4123.77
6.00;262.33;veh25;19782701#1_0;17.69;0.00;6.30;veh_passenger;11799.98;3573.66
6.00;348.16;veh27;322588817#2_0;18.08;0.00;6.34;veh_passenger;6815.63;2777.25
6.00;57.22;veh28;23650531#3_0;1.32;0.00;4.25;veh_passenger;1838.65;3805.28
6.00;305.64;veh29;-52856189_0;31.87;0.00;8.82;veh_passenger;12042.56;4039.58
6.00;348.20;veh3;532824129_0;30.69;0.00;8.72;veh_passenger;11059.86;3394.23
6.00;34.35;veh30;:cluster_312399408_4581629680_4_0;13.62;0.00;6.51;veh_passenger;8480.16;1772.16
6.00;348.16;veh31;24636698_0;35.13;0.00;10.11;veh_passenger;6142.17;3586.61
6.00;79.86;veh32;48397535#1_0;16.32;0.00;6.09;veh_passenger;8824.14;4725.04
6.00;52.03;veh33;138630336_1;10.63;0.00;3.76;veh_passenger;6223.62;3775.96
6.00;69.01;veh34;166648662_0;10.10;0.00;3.48;veh_passenger;3968.70;3792.66
6.00;174.55;veh35;131270042#0_0;29.07;0.00;12.08;veh_passenger;6949.56;4927.58
6.00;47.93;veh36;531587909#0_0;12.10;0.00;4.63;veh_passenger;4615.12;3443.98
6.00;44.25;veh37;322978493_3;42.45;0.00;18.43;veh_passenger;6094.15;1691.87
6.00;355.51;veh38;627861844_0;9.87;0.00;3.19;veh_passenger;9880.02;2873.44
6.00;235.89;veh39;141895226#1_0;9.37;0.00;2.96;veh_passenger;11044.68;4280.74
6.00;138.65;veh4;20285539#1_0;37.61;0.00;10.31;veh_passenger;3578.62;3208.71
6.00;165.82;veh40;256405906_0;10.96;0.00;3.98;veh_passenger;10972.60;3495.49
6.00;155.24;veh41;26152717_0;11.84;0.00;4.66;veh_passenger;3628.59;4246.97
6.00;252.42;veh42;19788536#0_0;9.93;0.00;3.44;veh_passenger;5191.19;2970.29
6.00;131.24;veh43;98188150#0_0;10.57;0.00;3.68;veh_passenger;4553.14;2510.82
6.00;255.33;veh44;-25915709#5_1;7.50;0.00;2.40;veh_passenger;5590.53;3447.94
6.00;167.05;veh45;-311851485#3_1;6.99;0.00;1.89;veh_passenger;6689.69;3290.37
6.00;181.61;veh46;47371222#2_0;7.65;0.00;2.55;veh_passenger;7465.17;2519.09
6.00;311.93;veh47;-21619595#2_0;7.09;0.00;1.99;veh_passenger;3485.09;1870.61
6.00;260.16;veh50;-136793803_1;6.48;0.00;1.38;veh_passenger;7402.89;3975.49
6.00;221.40;veh51;37414397_0;7.19;0.00;2.09;veh_passenger;11901.41;4140.37
