,timestep_time,vehicle_angle,vehicle_id,vehicle_lane,vehicle_pos,vehicle_slope,vehicle_speed,vehicle_type,vehicle_x,vehicle_y
19828,1260.0,209.69,veh289,18908030_0,85.93,0.0,14.78,veh_passenger,356.68,2134.5
19851,1261.0,209.69,veh289,18908030_0,100.93,0.0,15.0,veh_passenger,349.27,2121.5
19874,1262.0,209.69,veh289,18908030_0,115.4,0.0,14.47,veh_passenger,342.12,2108.97
19897,1263.0,213.29,veh289,18908030_0,130.15,0.0,14.75,veh_passenger,334.22,2096.57
19920,1264.0,213.29,veh289,18908030_0,144.78,0.0,14.63,veh_passenger,326.22,2084.37
19943,1265.0,213.29,veh289,18908030_0,159.88,0.0,15.1,veh_passenger,317.96,2071.79
19966,1266.0,215.83,veh289,18908030_0,174.71,0.0,14.83,veh_passenger,309.44,2059.7
19989,1267.0,215.83,veh289,18908030_0,188.96,0.0,14.25,veh_passenger,301.12,2048.18
20012,1268.0,215.84,veh289,18908030_0,203.81,0.0,14.85,veh_passenger,292.46,2036.18
20035,1269.0,215.85,veh289,18908030_0,217.91,0.0,14.1,veh_passenger,284.22,2024.78
20058,1270.0,215.51,veh289,18908030_0,232.06,0.0,14.15,veh_passenger,275.99,2013.33
20081,1271.0,215.97,veh289,18908030_0,246.8,0.0,14.74,veh_passenger,267.4,2001.4
20104,1272.0,215.97,veh289,18908030_0,261.43,0.0,14.63,veh_passenger,258.84,1989.6
20127,1273.0,218.29,veh289,18908030_0,275.97,0.0,14.54,veh_passenger,250.16,1977.99
20150,1274.0,218.32,veh289,18908030_0,290.8,0.0,14.83,veh_passenger,240.99,1966.38
21103,1327.0,203.66,veh307,18908030_0,0.7,0.0,17.18,veh_passenger,393.83,2210.82
21120,1328.0,203.4,veh307,18908030_0,17.75,0.0,17.05,veh_passenger,387.08,2195.21
21138,1329.0,203.4,veh307,18908030_0,35.26,0.0,17.51,veh_passenger,380.15,2179.19
21155,1330.0,208.2,veh307,18908030_0,53.19,0.0,17.93,veh_passenger,372.4,2163.09
21172,1331.0,208.2,veh307,18908030_0,70.98,0.0,17.79,veh_passenger,364.02,2147.46
21189,1332.0,209.69,veh307,18908030_0,88.99,0.0,18.01,veh_passenger,355.16,2131.84
21207,1333.0,209.69,veh307,18908030_0,107.07,0.0,18.08,veh_passenger,346.23,2116.18
21225,1334.0,213.29,veh307,18908030_0,124.39,0.0,17.32,veh_passenger,337.38,2101.37
21243,1335.0,213.29,veh307,18908030_0,142.08,0.0,17.69,veh_passenger,327.69,2086.62
21260,1336.0,213.29,veh307,18908030_0,159.65,0.0,17.57,veh_passenger,318.08,2071.98
21277,1337.0,215.83,veh307,18908030_0,177.74,0.0,18.09,veh_passenger,307.67,2057.26
21295,1338.0,215.83,veh307,18908030_0,195.77,0.0,18.03,veh_passenger,297.15,2042.68
21313,1339.0,215.85,veh307,18908030_0,213.35,0.0,17.57,veh_passenger,286.89,2028.47
21331,1340.0,215.52,veh307,18908030_0,230.71,0.0,17.36,veh_passenger,276.77,2014.43
21349,1341.0,215.97,veh307,18908030_0,248.76,0.0,18.05,veh_passenger,266.26,1999.82
21367,1342.0,215.97,veh307,18908030_0,266.56,0.0,17.8,veh_passenger,255.83,1985.46
21385,1343.0,218.32,veh307,18908030_0,283.94,0.0,17.38,veh_passenger,245.23,1971.75
21475,1348.0,198.18,veh314,325213134_3,21.38,0.0,21.93,veh_passenger,463.27,2418.33
21492,1349.0,196.99,veh314,325213134_3,43.47,0.0,22.09,veh_passenger,456.81,2397.21
21509,1350.0,195.27,veh314,325213134_3,65.68,0.0,22.2,veh_passenger,450.69,2375.88
21526,1351.0,195.27,veh314,325213134_3,87.23,0.0,21.55,veh_passenger,445.01,2355.1
21543,1352.0,195.27,veh314,325213134_3,108.86,0.0,21.63,veh_passenger,439.32,2334.24
21560,1353.0,195.27,veh314,325213134_3,130.83,0.0,21.97,veh_passenger,433.53,2313.06
21577,1354.0,195.27,veh314,325213134_3,153.37,0.0,22.55,veh_passenger,427.59,2291.32
21594,1355.0,195.27,veh314,325213134_3,176.1,0.0,22.73,veh_passenger,421.61,2269.4
21610,1356.0,195.27,veh314,325213134_3,197.98,0.0,21.88,veh_passenger,415.85,2248.3
21626,1357.0,195.27,veh314,325213134_3,219.87,0.0,21.89,veh_passenger,410.08,2227.19
23388,1490.0,198.23,veh350,325213134_3,5.1,0.0,0.0,veh_passenger,468.36,2433.79
23403,1491.0,198.23,veh350,325213134_3,6.99,0.0,1.89,veh_passenger,467.77,2432.0
23418,1492.0,198.23,veh350,325213134_3,10.31,0.0,3.32,veh_passenger,466.73,2428.84
23433,1493.0,198.23,veh350,325213134_3,15.17,0.0,4.86,veh_passenger,465.21,2424.23
23447,1494.0,198.15,veh350,325213134_3,21.53,0.0,6.36,veh_passenger,463.22,2418.19
23461,1495.0,196.99,veh350,325213134_3,29.95,0.0,8.42,veh_passenger,460.77,2410.14
23475,1496.0,196.99,veh350,325213134_3,40.84,0.0,10.9,veh_passenger,457.58,2399.72
23489,1497.0,196.98,veh350,325213134_3,53.23,0.0,12.38,veh_passenger,453.96,2387.89
23503,1498.0,195.27,veh350,325213134_3,66.98,0.0,13.75,veh_passenger,450.34,2374.63
23517,1499.0,195.27,veh350,325213134_3,82.74,0.0,15.77,veh_passenger,446.19,2359.42
23531,1500.0,195.27,veh350,325213134_3,99.82,0.0,17.08,veh_passenger,441.69,2342.95
23545,1501.0,195.27,veh350,325213134_3,119.47,0.0,19.65,veh_passenger,436.52,2324.01
23559,1502.0,195.27,veh350,325213134_3,141.71,0.0,22.24,veh_passenger,430.66,2302.56
23574,1503.0,195.27,veh350,325213134_3,164.18,0.0,22.47,veh_passenger,424.75,2280.89
23589,1504.0,195.27,veh350,325213134_3,186.46,0.0,22.27,veh_passenger,418.88,2259.41
23604,1505.0,195.27,veh350,325213134_3,209.25,0.0,22.8,veh_passenger,412.88,2237.43
28424,1833.0,203.44,veh426,18908030_0,2.7,0.0,17.43,veh_passenger,393.04,2208.98
28437,1834.0,203.4,veh426,18908030_0,20.16,0.0,17.45,veh_passenger,386.13,2193.01
28451,1835.0,203.4,veh426,18908030_0,37.23,0.0,17.07,veh_passenger,379.37,2177.39
28465,1836.0,208.2,veh426,18908030_0,55.2,0.0,17.96,veh_passenger,371.45,2161.33
28479,1837.0,208.39,veh426,18908030_0,73.37,0.0,18.17,veh_passenger,362.88,2145.38
28493,1838.0,209.69,veh426,18908030_0,91.51,0.0,18.15,veh_passenger,353.92,2129.66
28506,1839.0,209.69,veh426,18908030_0,108.58,0.0,17.07,veh_passenger,345.49,2114.87
28520,1840.0,213.29,veh426,18908030_0,126.83,0.0,18.25,veh_passenger,336.04,2099.33
28534,1841.0,213.29,veh426,18908030_0,143.99,0.0,17.16,veh_passenger,326.65,2085.03
28548,1842.0,213.29,veh426,18908030_0,162.0,0.0,18.0,veh_passenger,316.8,2070.02
28562,1843.0,215.83,veh426,18908030_0,179.64,0.0,17.64,veh_passenger,306.56,2055.72
28577,1844.0,215.83,veh426,18908030_0,197.75,0.0,18.11,veh_passenger,295.99,2041.08
28591,1845.0,215.85,veh426,18908030_0,215.37,0.0,17.61,veh_passenger,285.71,2026.84
28605,1846.0,215.51,veh426,18908030_0,233.11,0.0,17.74,veh_passenger,275.38,2012.48
28619,1847.0,215.97,veh426,18908030_0,251.17,0.0,18.06,veh_passenger,264.84,1997.87
