timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
242.00;42.00;veh2;:218308998_4_0;7.69;0.00;8.82;veh_passenger;1106.42;1178.96
243.00;42.55;veh2;93248659#0_0;3.31;0.00;10.08;veh_passenger;1113.20;1186.42
244.00;42.84;veh2;93248659#0_0;11.26;0.00;7.95;veh_passenger;1118.61;1192.25
245.00;42.84;veh2;93248659#0_0;18.23;0.00;6.97;veh_passenger;1123.34;1197.35
246.00;42.84;veh2;93248659#0_0;24.56;0.00;6.33;veh_passenger;1127.64;1202.00
247.00;42.84;veh2;93248659#0_0;30.40;0.00;5.85;veh_passenger;1131.62;1206.28
248.00;42.84;veh2;93248659#0_0;36.60;0.00;6.20;veh_passenger;1135.84;1210.83
249.00;42.84;veh2;93248659#0_0;40.95;0.00;4.35;veh_passenger;1138.79;1214.02
250.00;42.84;veh2;93248659#0_0;45.67;0.00;4.72;veh_passenger;1142.00;1217.48
251.00;42.84;veh2;93248659#0_0;50.95;0.00;5.28;veh_passenger;1145.59;1221.35
252.00;42.84;veh2;93248659#0_0;56.37;0.00;5.41;veh_passenger;1149.27;1225.32
253.00;42.84;veh2;93248659#0_0;62.55;0.00;6.18;veh_passenger;1153.48;1229.86
254.00;42.84;veh2;93248659#0_0;67.04;0.00;4.49;veh_passenger;1156.53;1233.15
255.00;42.84;veh2;93248659#0_0;71.88;0.00;4.84;veh_passenger;1159.82;1236.70
256.00;42.84;veh2;93248659#0_0;78.85;0.00;6.96;veh_passenger;1164.56;1241.81
257.00;42.84;veh2;93248659#0_0;82.92;0.00;4.07;veh_passenger;1167.32;1244.79
258.00;42.84;veh2;93248659#0_0;88.00;0.00;5.08;veh_passenger;1170.78;1248.51
259.00;42.84;veh2;93248659#0_0;93.60;0.00;5.61;veh_passenger;1174.59;1252.63
260.00;42.84;veh2;93248659#0_0;98.43;0.00;4.83;veh_passenger;1177.87;1256.17
261.00;42.84;veh2;93248659#0_0;104.38;0.00;5.95;veh_passenger;1181.92;1260.53
262.00;40.41;veh2;:232749397_5_0;2.34;0.00;5.67;veh_passenger;1185.61;1264.82
263.00;1.80;veh2;:232749397_5_0;9.87;0.00;7.53;veh_passenger;1187.06;1271.70
264.00;312.60;veh2;-21619598#0_0;4.89;0.00;6.73;veh_passenger;1182.39;1276.50
265.00;312.32;veh2;-21619598#0_0;13.52;0.00;8.63;veh_passenger;1176.01;1282.31
266.00;312.32;veh2;-21619598#0_0;24.59;0.00;11.07;veh_passenger;1167.83;1289.77
267.00;312.32;veh2;-21619598#0_0;34.67;0.00;10.08;veh_passenger;1160.38;1296.55
268.00;312.32;veh2;-21619598#0_0;45.89;0.00;11.23;veh_passenger;1152.08;1304.11
269.00;312.32;veh2;-21619598#0_0;57.36;0.00;11.46;veh_passenger;1143.60;1311.83
270.00;;;;;;;;;
271.00;;;;;;;;;
272.00;;;;;;;;;
273.00;;;;;;;;;
274.00;;;;;;;;;
275.00;;;;;;;;;
276.00;;;;;;;;;
277.00;;;;;;;;;
278.00;;;;;;;;;
279.00;;;;;;;;;
280.00;;;;;;;;;
281.00;;;;;;;;;
282.00;;;;;;;;;
283.00;;;;;;;;;
284.00;;;;;;;;;
285.00;;;;;;;;;
286.00;;;;;;;;;
287.00;;;;;;;;;
288.00;;;;;;;;;
289.00;;;;;;;;;
290.00;;;;;;;;;
291.00;;;;;;;;;
292.00;;;;;;;;;
293.00;;;;;;;;;
294.00;;;;;;;;;
295.00;;;;;;;;;
296.00;;;;;;;;;
297.00;;;;;;;;;
298.00;;;;;;;;;
299.00;;;;;;;;;
300.00;;;;;;;;;
301.00;;;;;;;;;
302.00;;;;;;;;;
303.00;;;;;;;;;
304.00;;;;;;;;;
305.00;;;;;;;;;
306.00;;;;;;;;;
307.00;;;;;;;;;
308.00;;;;;;;;;
309.00;;;;;;;;;
310.00;;;;;;;;;
311.00;;;;;;;;;
312.00;;;;;;;;;
313.00;;;;;;;;;
314.00;;;;;;;;;
315.00;;;;;;;;;
316.00;;;;;;;;;
317.00;;;;;;;;;
318.00;;;;;;;;;
319.00;;;;;;;;;
320.00;;;;;;;;;
321.00;;;;;;;;;
322.00;;;;;;;;;
323.00;;;;;;;;;
324.00;;;;;;;;;
325.00;;;;;;;;;
